	Задача	Аккаунт
	Общедоступная часть	
1	Хедер. Проверка ссылки Заявки покупателей	
2	Хедер. Проверка ссылки Товары продавцов	
3	Проверка логотипа UMIT	
4	Хедер. Проверка кнопок Регистрация/Вход	
5	Проверка слайдера	
6	"Расширенный поиск: 
- проверка табов Авто/спецтезника
- проверка чек-боксов Заявки на покупку/Товары продавцов
- проверка дроп-листа марки авто/модель авто/тип запчасти/год/выбор города
- заполнить поле ключевые слова
- успешное применение поиска
- очистить поиск"	
7	"Поле поиска:
- поиск по наименованию/типу/марке/модели/году/городу
- очистить поиск"	
8	"Новые заявки:
- переключение по карточкам
- переход на страницу всех заявок
- поделиться заявкой (страница авторизации)
- добавить в избранное (страница авторизации)
- добавить заметку (страница авторизации)
- сообщение (страница авторизации)"	
9	"Детальная карточки заявки:
- просмотр фото (при наличии)
- поделиться заявкой (страница авторизации)
- написать сообщение (страница авторизации)
- предлодить (страница авторизации)
- нажать подробнее/скрыть
- перейти на страницу профиля продавца"	
10	"Новые товары:
- переключение по карточкам
- переход на страницу всех товаров
- поделиться товаром (страница авторизации)
- добавить в избранное (страница авторизации)
- добавить в корзину (страница авторизации)"	
11	"Детальная карточки товара:
- просмотр фото (при наличии)
- поделиться товаром (страница авторизации)
- написать сообщение (страница авторизации)
- добавить в корзину (страница авторизации)
- перейти на страницу профиля продавца"	
12	"Все заявки:
- проверить скроллинг и подгрузку заявок по нажатию кнопки Показать еще (при наличии заявок)
- поделиться заявкой (страница авторизации)
- добавить в избранное (страница авторизации)
- добавить заметку (страница авторизации)
- сообщение (страница авторизации)
- переход на детальную заявки
- расширенный поиск: 
          - проверка табов Авто/спецтезника
          - проверка дроп-листов марки авто/модель авто/тип запчасти/год/выбор города
          - заполнить поле ключевые слова
          - успешное применение поиска
          - очистить поиск"	
13	"Все товары:
- проверить скроллинг и подгрузку товаров по нажатию кнопки Показать еще (при наличии заявок)
- поделиться товаром (страница авторизации)
- добавить в избранное (страница авторизации)
- добавить в Корзину (страница авторизации)
- переход на детальную товара
- расширенный поиск: 
          - проверка табов Авто/спецтехника
          - проверка дроп-листов марки авто/модель авто/тип запчасти/год/выбор города
          - заполнить поле ключевые слова
          - успешное применение поиска
          - очистить поиск"	
14	"Футер:
- проверка лого UMIT
- проверка ссылок на мобильные приложения
- проверка ссылок на соц. Сети
проверка ссылок Стать продавцом, пользовательское соглашение, Политика конфиденциальности"	
15	"Авторизация:
- проверка валидации поля телефона
- проверка валидации поля пароля
- проверка переключения кода страны
- проверка кнопки парольного глаза
- проверка ссылки Зарегистрироваться
- проверка ссылки Забыли пароль
- успешная авторизация"	
16	"Форма восстановления пароля:
- проверка валидации поля номер телефона
- проверка кнопко Отправить проверочный код и Вернуться на страницу входа
- проверка переключения кода страны"	
17	"Форма регистрации:
- проверка валидации поля номер телефона
- проверка ссылки обработки персональных данных
проверка чек-бокса персональных данных
проверка ссылок пользовательского соглашения и политики
- проверка кнопки Войти
- проверка переключения кода страны"	
		
		
		
		
		
		
		
		
		
		
		
		
1	Проверить переход во вкладку "Заявки"	Покупатель
2	Проверка отображения имеющихся заявок	Покупатель
3	Просмотр предложений по имеющимся заявкам	Покупатель
4	Создать папку во вкладке "Заявки" и присвоить имя "Избранное"	Покупатель
5	Создать заявку на товар	Покупатель
6	Переместить любую/несколько заявку(ок) в папку "Избранное"	Покупатель
7	Проверить отоброжение заявки(ок) в папке "Избранное"	Покупатель
8	Проверка вкладки "История" заявок	Покупатель
9	Сменить раскладку заявок в столбец и обратно в сетку	Покупатель
10	Проверить отобрежение заявок кнопкой "Показать еще"	Покупатель
11	Открытие одной из заявок (проверить увеличение изображения товара при наличии)	Покупатель
12	Развернуть описание карточки техники клавишей "Подробнее"	Покупатель
13	На главной странице проверить переход по ссылке "Политика конфиденциальности"	Покупатель
14	На главной странице проверить переход по ссылке "Пользовательское соглашение"	Покупатель
15	На главной странице проверить переход по ссылке приложение в "App Store"	Покупатель
16	На главной странице проверить переход по ссылке приложение в "Google Play"	Покупатель
17	На главной странице проверить переход по ссылке приложение в "ВКонтакте"	Покупатель
18	На главной странице проверить переход по ссылке приложение в "youtube"	Покупатель
19	На главной странице проверить переход по ссылке "Стать продавцом"	Покупатель
20	Проверить переход во вкладку "Склад"	Покупатель
21	Сменить раскладку товаров в столбец и обратно в сетку	Покупатель
22	Создать папку во вкладке "Склад" и присвоить имя "Избранное"	Покупатель
23	Переместить любой/несколько товар(ов)) в папку "Избранное"	Покупатель
24	Проверить отоброжение товара(ов) в папке "Избранное"	Покупатель
25	Переместить один товар в корзину	Покупатель
26	Проверить отоброжение товара в корзине	Покупатель
27	Во вкладке "Корзина" изменить количество товара	Покупатель
28	Во вкладке "Корзина" удалить выбранные товары кнопкой "Отменить"	Покупатель
29	Переместить несколько товаров в корзину	Покупатель
30	Проверить отоброжение всех перемещенных товаров в корзине	Покупатель
31	Открыть информацию о продавце товара	Покупатель
32	Перейти во вкладку "Витрина продавца"	Покупатель
33	Выбрать один товар из витрины продавца и переместить в корзину	Покупатель
34	Проверить отоброжение товара в корзине	Покупатель
35	Проверить переход во вкладку "Заказы"	Покупатель
36	Проверить отоброжение заказов во вкладке "Актуальные"	Покупатель
37	Проверить отоброжение заказов во вкладке "История"	Покупатель
38	Проверить открытие заказа	Покупатель
39	Через вкладку "Аккаунт" сменить роль с покупателя на продовца и обратно	Покупатель
40	Через вкладку "Аккаунт" перейти на другой аккаунт (кнопка "сменить аккаунт")	Покупатель
41	Через вкладку "Аккаунт" перейти в "Профиль" / "Общая информация"	Покупатель
42	Через вкладку "Аккаунт" в окне "Профиль" перейти в раздел "Техника"	Покупатель
43	Через вкладку "Аккаунт" в окне "Профиль" перейдя в раздел "Техника" добавить новую карточку кнопкой "Добавить", в всплывающем окне выбрать "Авто", внести данные и загрузить фото.	Покупатель
44	Проверить отображение добавленной карточки.	Покупатель
45	Редактировать добавленную карточку	Покупатель
46	Удалить добавленную карточку	Покупатель
47	Через вкладку "Аккаунт" в окне "Профиль" перейдя в раздел "Техника" добавить новую карточку кнопкой "Добавить", в всплывающем окне выбрать "Техника", внести данные и загрузить фото.	Покупатель
48	Проверить отображение добавленной карточки.	Покупатель
49	Редактировать добавленную карточку	Покупатель
50	Удалить добавленную карточку	Покупатель
51	Через вкладку "Аккаунт" в окне "Профиль" перейдя в раздел "Мой рейтинг" добавить отзыв к комментарию	Покупатель
52	Через вкладку "Аккаунт" в окне "Профиль" перейдя в раздел "Партнерская программа" воспользоваться ссылкой "Узанть подробнее".	Покупатель
53	Через вкладку "Аккаунт" в окне "Профиль" перейдя в раздел "Документы" проверить наличие надокументов по ссылкам: (Политика обработки персональных данных; Пользовательское соглашение; Агентский договор; Партнерская программа; Договор купли-продажи; Политика конфиденциальности)	Покупатель
54	Через вкладку "Склад" добавить несколько новых товаров	Продавец
55	Через вкладку "Склад" используя "Расширенный поиск" найти добавленный продавцом товар	Покупатель
56	Через вкладку "Склад" переместить товар в папку "Архив"	Продавец
57	Проверить меремещенный товар в папке "Архив"	Продавец
